idx,lat,lon,type,PM25mean,PM25mean_overlap,PM25_yhat_mean_overlap
534115,36.8834,127.2074,city,23.365419734904272,27.493048128342245,27.827786096256688
534116,36.7844,127.1229,city,23.982097787169103,23.856490872210955,24.046227180527385
534342,36.447,127.1192,city,21.675201040681173,23.050298804780876,23.24285856573705
534343,36.3086,127.0671,city,21.663423183851084,22.63945205479452,22.852849315068497
534411,36.2755,126.9113,city,18.303339688787748,18.472267097469036,18.62138395261174
534421,36.9897,126.3853,city,14.42474361254372,14.573536191793453,14.797422775472569
534422,36.7799,126.4561,city,20.16681892928924,18.848073792729245,18.968138903960934
534423,36.938,126.4339,city,16.956039392501186,13.240776699029126,13.446859223300972
534424,36.8391,126.4609,city,18.13400464756003,18.01029810298103,18.139940379403797
534433,36.9765,126.7164,city,24.561945331913385,26.742379547689282,26.978967551622418
534434,36.8899,126.6458,city,21.755850840964865,22.749003984063744,22.95537848605578
534441,36.7829,127.0145,city,23.50117233294256,23.843031784841077,24.02466014669926
534442,36.7738,127.0539,city,23.174660199988026,24.608873023967362,24.894492605813358
534443,36.7625,126.8887,city,24.54154400720937,25.075191815856776,25.311529411764706
534444,36.9143,127.0596,city,25.74623352165725,26.19788664745437,26.531709894332373
534445,36.8734,126.8798,city,24.47981292919725,25.722958057395143,26.02599337748344
534451,36.1994,127.0871,city,16.44675245098039,17.094594594594593,17.25099099099099
534452,36.1251,127.0991,city,18.08973811122642,18.296979865771814,18.49920581655481
534453,36.2154,127.0439,city,21.10843084308431,20.33349191246432,20.491298763082778
534462,36.8697,126.2805,city,16.006596465746792,16.60259490629505,16.752844786160498
534463,36.7467,126.3015,city,16.37428774928775,14.357228195937873,14.563709677419354
534465,36.8242,126.2572,city,16.95951859956236,18.02140992167102,18.213164490861622
534471,36.6774,126.8489,city,19.790590350614323,19.66545643153527,19.89251037344398
534472,36.6881,126.7392,city,22.94109580874024,21.06697819314642,21.223520249221185
534481,36.3531,126.5897,city,19.336793819410914,18.290080428954422,18.469367292225197
534482,36.3908,126.5693,city,19.873706896551724,17.14875,17.340675
534491,36.5977,126.6551,city,21.07226121089568,20.48115516397455,20.58681840430739
534492,36.6533,126.668,city,18.202027429934407,18.77317880794702,18.91220750551876
534501,36.1072,127.4907,city,19.842617794713604,19.816894284269093,19.946509863429437
534502,36.4552,126.8049,city,20.6330555722079,21.209036144578313,21.389192771084335
534503,36.415,126.9454,city,19.25613469460864,19.800639658848613,19.899722814498936
534510,36.287,127.2379,city,16.740727294729837,15.656140350877193,15.915333333333331
541111,36.5925,127.2921,city,19.402791802791803,19.58337481333997,19.799288203086114
541112,36.5119,127.2472,city,17.014947138169887,15.621865596790371,15.851519558676028
541113,36.4761,127.2514,city,17.691421179514318,13.979037636969986,14.124626012386852
541114,36.527,127.3703,city,18.37612954090606,18.63,18.78433
632121,37.3528,127.9475,city,16.44537149817296,16.404213298222516,16.589980250164583
632122,37.3356,127.9771,city,19.578671022694124,21.395449620801735,21.442026002166845
632124,37.3128,127.8173,city,18.81407675791733,19.284439486893476,19.421522587841608
632126,37.3723,127.8751,city,20.28897289677709,21.352096496266512,21.45242389431361
632132,37.76,128.903,city,15.149739337981282,14.78510744627686,14.909000499750126
632151,37.525,129.1145,city,13.951906932118014,13.90426189005559,13.886392835083385
632161,37.4426,129.1684,city,12.211104013008883,12.509011203117389,12.580886507549925
632171,37.3607,128.389,city,14.254177035193743,14.63435294117647,14.729378823529412
632372,37.3797,128.6616,city,14.209534296262712,15.965811965811966,16.071709401709402
632432,37.4899,127.9829,city,16.964639748549324,16.976051091005854,17.108392762107503
632441,38.3811,128.4637,city,14.777098873194731,14.758917589175892,14.90039975399754
632451,38.075,128.6184,city,11.368035281694516,10.432332806740389,10.562327540810953
632461,38.2069,128.5882,city,12.132989856705844,12.14487079091621,12.33373531714957
632472,38.1471,127.3125,city,16.054771585745037,17.093913955928645,17.235057712486885
632481,37.6838,127.8803,city,18.000116726975605,17.38991674375578,17.502622571692875
632491,37.174,128.4625,city,15.393832805721656,17.840132827324478,17.874487666034156
632501,38.1064,127.7084,city,16.080260032504064,17.068181818181817,17.26809312638581
632511,37.1629,128.9867,city,10.556276429357586,10.388605442176871,10.43937074829932
632521,38.0602,128.1668,city,11.487440121509522,10.535697620158656,10.66086794213719
633122,36.9646,127.9262,city,20.55044395447232,21.718734047983666,21.825722307299646
633123,36.9821,127.9192,city,23.499910878735665,24.192481203007517,24.29812030075188
633124,37.0165,127.8227,city,19.97484313269812,20.16883743367101,20.241316931982634
633125,36.9052,127.9641,city,18.706989247311828,18.632051922116826,18.737703444832754
633131,37.1451,128.2207,city,19.56515259895088,21.597555012224937,21.7679706601467
633132,37.1241,128.2006,city,19.7922373063812,22.098058252427183,22.159946601941748
633133,37.0002,128.1677,city,17.429197592192157,19.34145220588235,19.499747242647057
633211,36.7134,127.4172,city,20.212028120753825,23.325818572195384,23.470805152979068
633213,36.6137,127.4674,city,21.18965619618788,22.286014721345953,22.553322818086222
633214,36.6325,127.3251,city,20.387802413362657,22.51938775510204,22.7285
633215,36.5536,127.5485,city,19.37195343761368,19.995985950827897,20.112152533868542
633311,37.0334,128.2957,city,22.457293122961183,26.94521249359959,27.221024065540195
633312,36.9392,128.3207,city,17.90976478141598,19.411492122335495,19.557933271547732
633313,36.9872,128.3656,city,17.860691342918322,21.229873417721517,21.494177215189872
633362,36.8075,127.7893,city,19.86396526772793,20.087943262411347,20.23444917257683
633363,36.8369,127.8745,city,20.873424431617387,21.209737827715355,21.32508895131086
633411,36.8551,127.4414,city,21.527499403483656,22.793478260869566,22.99595755693582
633412,36.902,127.539,city,22.196711753731343,24.427934621099553,24.54934125804854
633462,36.9289,127.6889,city,21.16424091823453,21.060489678348535,21.26445511281805
633463,36.9227,127.7574,city,21.910714285714285,22.472049689440993,22.575093167701862
633471,36.1728,127.7778,city,18.019276253547776,17.026797677534613,17.186270656543098
633472,36.2295,127.9132,city,17.222736992159657,17.353982300884955,17.465258500232885
633481,36.8134,127.613,city,21.61041679124559,22.14424477901894,22.31146673142302
633482,36.7677,127.6049,city,17.196066781534075,18.086533787068547,18.32034030140982
633491,36.4837,127.717,city,18.47638795986622,18.415584415584416,18.555365997638724
634111,36.3064,127.5712,city,19.47330589174909,20.80074661689221,20.832725151656554
735111,35.799,127.1218,city,19.21479940564636,19.331635252165054,19.510361691288843
735114,35.8515,127.087,city,18.1656494140625,17.83400809716599,18.019803354540198
735115,35.8674,127.1175,city,21.354710589334736,22.209486166007906,22.368294748729532
735117,35.8465,127.0627,city,20.879187580249795,22.731206057328286,22.94196322336398
735121,35.9729,126.7007,city,20.199374741933585,21.42158273381295,21.601803357314147
735122,35.9733,126.6514,city,19.97056063804832,21.82151589242054,22.0219902200489
735123,35.9639,126.7532,city,20.806839622641508,21.70484988452656,21.91679907621247
735124,35.9395,126.7484,city,21.978507183740216,23.024708624708623,23.190167832167834
735125,35.9438,126.5411,city,21.05515264943268,22.443056576047024,22.47706098457017
735127,35.9585,126.597,city,19.554518054488504,21.27373271889401,21.390027649769586
735131,36.0203,126.9841,city,22.490913368229137,23.067196090409286,23.42174098961515
735133,35.9616,127.0042,city,22.1668331081478,21.85434657455383,21.979418537708693
735134,35.9546,126.9414,city,21.33360718267708,22.01301204819277,22.210631325301204
735135,36.1097,126.9918,city,22.792995579734782,23.15987261146497,23.23062420382166
735136,36.078,126.9663,city,21.7053152039555,20.52165256346441,20.696381284221005
735137,35.9011,127.0053,city,22.45031317754757,21.47878787878788,21.741141414141417
735138,36.0598,127.0835,city,21.048056783802654,22.142100192678228,22.40909922928709
735141,35.5684,126.8459,city,19.8779690691567,21.457231726283048,21.51075686884396
735142,35.688,126.8868,city,19.62785814279048,19.27331995987964,19.513575727181543
735143,35.609,126.8528,city,19.858820093457943,20.668618838457785,20.78172767203514
735151,35.4077,127.3846,city,17.528662420382165,16.912060301507537,17.080113065326632
735152,35.4398,127.5289,city,17.476003917727716,15.298287345385347,15.433315889628926
735161,35.4373,126.713,city,18.106223622421684,19.075903614457832,19.289060240963856
735162,35.5246,126.5511,city,15.77027358606306,15.91653666146646,16.087691107644304
735171,35.7294,126.7199,city,20.700148323939484,20.625840537944285,20.715744476464938
735173,35.7916,126.6981,city,21.74589970501475,23.238946378174976,23.381966133584193
735181,35.8049,126.8914,city,22.95474495848161,22.88145896656535,23.050526849037485
735191,35.9764,127.2055,city,18.898474143561124,19.26992665036675,19.44927139364303
735192,35.9418,127.1661,city,20.465809708281974,20.03839541547278,20.322
735193,35.7291,127.1355,city,17.052540964141535,17.254545454545454,17.415710073710073
735201,35.7972,127.4349,city,17.056545680620523,16.64177737059093,16.730609253321116
735361,35.6134,127.2794,city,17.829242450997704,16.058585858585857,16.201681818181818
735362,35.6738,127.2707,city,18.59586776859504,17.25665024630542,17.413133004926106
735371,36.0087,127.6621,city,15.823795453174938,15.18634778276034,15.362964623816643
735381,35.3744,127.1374,city,17.201565557729943,17.656142081894426,17.7713172175629
735391,35.6474,127.5212,city,16.524828251175123,16.320101781170482,16.47248854961832
735520,36.0762,126.6979,city,17.792554450757574,15.993364928909953,16.166090047393364
735521,36.1529,126.5493,city,15.242714796014289,15.961230769230768,16.08432
735522,36.0091,126.6941,city,17.539868142803833,17.552519214346713,17.714406490179332
735601,36.4293,129.0564,city,13.071101581966738,14.277387350144688,14.395713104588674
