,PM10,PM25,aod354,aod443,aod550,alh,distance,t2m,rh,blh,sp,ws,wd,tp
2022-11-06 06:00:00,16.0,10.0,0.1375970840454101,0.1046301797032356,0.0740848183631897,1.657118320465088,1.2860000133514404,285.95,44.89,1331.5,100172.13,2.231,272.055,0.0
2022-11-08 05:00:00,48.0,35.0,0.5242335200309753,0.3986324667930603,0.282257080078125,0.5750570893287659,1.5509999990463257,286.42,60.55,1032.16,100304.28,1.602,272.505,0.0
2022-11-09 04:00:00,74.0,53.0,1.9684903621673584,1.3694311380386353,0.9307981729507446,0.6661096811294556,1.590000033378601,285.57,65.399,915.07,100395.32,1.332,257.425,0.0
2022-11-09 05:00:00,66.0,43.0,1.1091426610946655,0.7734271287918091,0.5268517136573792,0.398345947265625,1.38100004196167,286.04,64.518,1028.83,100336.74,1.854,266.289,0.0
2022-11-10 04:00:00,60.0,42.0,1.1729079484939575,0.891892671585083,0.6315165162086487,0.8398280739784241,1.565999984741211,287.7,68.315,686.04,100348.65,1.707,318.562,0.0
2022-11-11 01:00:00,66.0,39.0,0.5659619569778442,0.4303634166717529,0.3047245740890503,0.0874995589256286,3.0209999084472656,283.98,93.482,106.44,100615.43,1.176,62.128,0.0
2022-11-11 02:00:00,59.0,41.0,0.5292359590530396,0.4024363756179809,0.2849504947662353,0.4011183381080627,2.328000068664551,286.77,82.526,288.85,100593.15,1.207,68.11,0.0
2022-11-11 03:00:00,46.0,31.0,0.4695079326629638,0.3570185899734497,0.2527917921543121,0.3386502265930176,1.8849999904632568,289.16,68.201,702.74,100535.15,1.453,93.945,0.0
2022-11-11 04:00:00,48.0,27.0,0.4892479479312897,0.372029036283493,0.2634201943874359,0.2631025314331054,1.5959999561309814,290.35,60.907,922.99,100453.33,1.781,123.779,0.0
2022-11-11 05:00:00,42.0,24.0,0.4416520893573761,0.3358367085456848,0.2377936989068985,0.2247152328491211,1.6139999628067017,290.97,57.478,1056.43,100390.9,1.759,144.955,0.0
2022-11-11 06:00:00,48.0,23.0,0.4062047898769378,0.3088822066783905,0.2187082171440124,0.4069646596908569,1.631999969482422,291.13,56.407,1136.25,100356.91,1.68,163.399,0.0
2022-11-14 06:00:00,20.0,12.0,0.362801730632782,0.2522495985031128,0.1713629961013794,0.2266777753829956,1.919000029563904,283.43,58.98,970.96,99547.14,2.866,273.601,0.0
2022-11-16 05:00:00,42.0,26.0,0.2428036630153656,0.1846303641796112,0.130730003118515,1.061229228973389,0.4880000054836273,282.86,51.438,1258.17,99868.86,2.768,282.731,0.0
2022-11-16 06:00:00,25.0,14.0,0.1792070269584655,0.1362708359956741,0.0964883863925933,1.3792123794555664,0.7979999780654907,282.93,48.096,1231.11,99876.54,2.777,284.387,0.0
2022-11-17 02:00:00,66.0,34.0,0.5081415772438049,0.3863960206508636,0.2735928893089294,0.2615137696266174,0.9869999885559082,284.23,72.138,585.76,100321.95,1.222,203.629,0.0
2022-11-17 03:00:00,42.0,25.0,0.4375766813755035,0.3327377140522003,0.2355994135141372,0.9380600452423096,0.7009999752044678,285.33,64.761,810.43,100267.02,1.475,239.436,0.0
2022-11-17 04:00:00,47.0,27.0,0.3815038502216339,0.2900994122028351,0.2054087668657302,0.8886828422546387,0.8880000114440918,286.04,59.625,907.88,100208.82,1.63,254.344,0.0
