idx,lat,lon,M0corr,M1corr,M2corr,M3corr,RFcorr,XGBcorr,M0rmse,M1rmse,M2rmse,M3rmse,RFrmse,XGBrmse,M0slp,M1slp,M2slp,M3slp,RFslp,XGBslp,M0re,M1re,M2re,M3re,RFre,XGBre
238161,35.0677,127.7514,0.45,0.2,0.31,0.33,0.66,0.66,19.41,21.33,20.72,20.58,16.68,16.45,0.2,0.04,0.1,0.11,0.34,0.4,0.56,0.67,0.61,0.61,0.45,0.44
238162,34.9659,127.7943,0.38,0.16,0.29,0.29,0.61,0.59,20.48,21.86,21.22,21.2,17.84,17.89,0.15,0.03,0.08,0.09,0.29,0.34,0.59,0.66,0.61,0.6,0.45,0.44
238181,35.2369,128.8834,0.4,0.18,0.24,0.24,0.64,0.66,27.64,29.64,29.26,29.3,23.53,22.71,0.16,0.03,0.06,0.06,0.33,0.41,0.58,0.65,0.64,0.65,0.48,0.48
238182,35.2443,128.9118,0.36,0.14,0.2,0.21,0.67,0.66,25.45,27.0,26.7,26.67,20.65,20.53,0.13,0.02,0.04,0.05,0.36,0.44,0.58,0.66,0.64,0.64,0.48,0.48
238183,35.2024,128.8072,0.35,0.2,0.24,0.25,0.63,0.61,22.9,23.91,23.69,23.64,19.21,19.32,0.12,0.04,0.06,0.07,0.32,0.37,0.51,0.52,0.52,0.51,0.41,0.41
238184,35.3078,128.7312,0.36,0.28,0.3,0.31,0.67,0.66,25.14,25.9,25.75,25.67,20.43,20.2,0.13,0.08,0.09,0.1,0.36,0.42,0.59,0.62,0.6,0.6,0.45,0.44
238201,34.8636,128.6903,0.4,0.2,0.23,0.27,0.73,0.71,23.93,25.55,25.39,25.15,18.1,18.42,0.16,0.04,0.06,0.08,0.46,0.49,0.65,0.72,0.72,0.72,0.48,0.51
238203,34.8808,128.6211,0.37,0.22,0.3,0.3,0.68,0.69,27.5,28.84,28.22,28.19,21.89,21.51,0.13,0.05,0.09,0.1,0.39,0.44,0.66,0.72,0.68,0.68,0.48,0.5
238211,35.0828,128.0912,0.37,0.19,0.21,0.21,0.53,0.55,24.82,26.26,26.16,26.19,22.78,22.36,0.14,0.04,0.05,0.05,0.23,0.29,0.52,0.56,0.55,0.55,0.43,0.43
238212,34.9338,128.0933,0.36,0.16,0.22,0.22,0.56,0.55,28.09,29.78,29.39,29.4,25.17,25.18,0.13,0.03,0.05,0.05,0.26,0.3,0.62,0.67,0.65,0.65,0.51,0.53
238361,35.3458,129.041,0.4,0.2,0.22,0.22,0.72,0.71,19.61,20.97,20.9,20.87,15.27,15.13,0.16,0.04,0.05,0.05,0.39,0.44,0.53,0.58,0.58,0.59,0.41,0.4
238362,35.4144,129.172,0.41,0.19,0.22,0.27,0.72,0.68,31.69,34.12,33.93,33.5,24.99,25.45,0.17,0.04,0.05,0.08,0.39,0.44,0.62,0.71,0.71,0.73,0.5,0.51
238363,35.3106,128.9872,0.4,0.21,0.27,0.27,0.65,0.65,23.8,25.4,25.02,25.05,20.01,19.68,0.16,0.04,0.07,0.07,0.34,0.41,0.52,0.58,0.57,0.57,0.42,0.42
238371,35.4381,129.3376,0.38,0.19,0.24,0.26,0.69,0.69,29.54,31.37,31.04,30.9,23.59,23.29,0.15,0.04,0.06,0.07,0.38,0.44,0.58,0.63,0.61,0.63,0.43,0.44
238373,35.4931,129.3059,0.4,0.18,0.25,0.3,0.74,0.77,32.48,34.81,34.27,33.75,24.62,23.02,0.16,0.04,0.07,0.1,0.42,0.5,0.58,0.66,0.64,0.65,0.45,0.45
238374,35.6203,129.358,0.43,0.09,0.2,0.22,0.69,0.69,28.09,30.93,30.45,30.29,23.37,22.77,0.18,0.01,0.04,0.05,0.34,0.41,0.56,0.68,0.65,0.68,0.46,0.47
238375,35.5583,129.1138,0.41,0.18,0.21,0.24,0.72,0.72,26.23,28.28,28.1,27.91,20.35,20.06,0.17,0.03,0.05,0.06,0.41,0.47,0.52,0.57,0.57,0.59,0.39,0.39
238376,35.5679,129.3195,0.44,0.17,0.23,0.25,0.77,0.79,32.97,36.19,35.79,35.52,24.81,23.26,0.19,0.03,0.05,0.07,0.42,0.51,0.61,0.71,0.7,0.73,0.46,0.44
238377,35.4615,129.2091,0.34,0.22,0.22,0.25,0.77,0.77,27.46,28.42,28.42,28.24,19.22,18.89,0.11,0.05,0.05,0.07,0.47,0.52,0.67,0.67,0.68,0.7,0.48,0.48
238378,35.5706,129.2219,0.42,0.23,0.28,0.29,0.73,0.76,28.49,30.59,30.14,30.05,21.93,20.62,0.18,0.05,0.08,0.09,0.42,0.51,0.63,0.7,0.68,0.7,0.48,0.47
238381,35.5088,129.4267,0.35,0.25,0.27,0.29,0.69,0.7,31.78,32.9,32.74,32.52,24.99,24.2,0.12,0.06,0.07,0.09,0.38,0.45,0.54,0.58,0.57,0.6,0.4,0.41
238401,35.4937,128.7542,0.4,0.3,0.34,0.33,0.66,0.64,21.63,22.46,22.2,22.22,18.0,18.1,0.16,0.09,0.12,0.12,0.35,0.39,0.54,0.56,0.55,0.56,0.41,0.42
238411,34.8572,128.4324,0.4,0.21,0.25,0.27,0.69,0.69,26.97,28.72,28.47,28.3,21.51,21.29,0.16,0.05,0.06,0.08,0.39,0.44,0.61,0.65,0.65,0.67,0.46,0.48
238421,34.9745,128.3243,0.41,0.22,0.25,0.25,0.64,0.63,25.49,27.29,27.11,27.08,21.77,21.68,0.17,0.05,0.06,0.07,0.35,0.37,0.55,0.6,0.6,0.61,0.42,0.43
238431,35.6814,127.9179,0.44,0.22,0.24,0.24,0.66,0.65,20.27,22.1,21.99,21.99,17.32,17.17,0.2,0.05,0.06,0.06,0.34,0.4,0.59,0.67,0.66,0.67,0.47,0.46
238441,35.2723,128.4081,0.4,0.24,0.26,0.27,0.62,0.64,20.98,22.22,22.08,22.02,18.13,17.65,0.16,0.06,0.07,0.08,0.32,0.39,0.54,0.58,0.58,0.57,0.41,0.41
